1,2,3,4,5,6,7,8,9,10
50.850, 0, 0, 0, 0, 0, 0, 0, 0, 0,
51.430, 0, 0, 0, 0, 0, 0, 0, 0, 0,
52.010, 0, 0, 0, 0, 0, 0, 0, 0, 0,
52.470, 0, 0, 0, 0, 0, 0, 0, 0, 0,
53.090, 0, 0, 0, 0, 0, 0, 0, 0, 0,
53.540, 0, 0, 0, 0, 0, 0, 0, 0, 0,
54.180, 0, 0, 0, 0, 0, 0, 0, 0, 0,
54.630, 0, 0, 0, 0, 0, 0, 0, 0, 0,
55.260, 0, 0, 0, 0, 0, 0, 0, 0, 0,
55.710, 0, 0, 0, 0, 0, 0, 0, 0, 0,
56.340, 0, 0, 0, 0, 0, 0, 0, 0, 0,
56.920, 0, 0, 0, 0, 0, 0, 0, 0, 0,
57.370, 0, 0, 0, 0, 0, 0, 0, 0, 0,
58.000, 0, 0, 0, 0, 0, 0, 0, 0, 0,
58.450, 0, 0, 0, 0, 0, 0, 0, 0, 0,
59.070, 0, 0, 0, 0, 0, 0, 0, 0, 0,
59.530, 0, 0, 0, 0, 0, 0, 0, 0, 0,
60.150, 0, 0, 0, 0, 0, 0, 0, 0, 0,
60.600, 0, 0, 0, 0, 0, 0, 0, 0, 0,
61.230, 0, 0, 0, 0, 0, 0, 0, 0, 0,
61.680, 0, 0, 0, 0, 0, 0, 0, 0, 0,
62.300, 0, 0, 0, 0, 0, 0, 0, 0, 0,
62.760, 0, 0, 0, 0, 0, 0, 0, 0, 0,
63.380, 0, 0, 0, 0, 0, 0, 0, 0, 0,
63.960, 0, 0, 0, 0, 0, 0, 0, 0, 0,
64.470, 0, 0, 0, 0, 0, 0, 0, 0, 0,
65.090, 0, 0, 0, 0, 0, 0, 0, 0, 0,
65.540, 0, 0, 0, 0, 0, 0, 0, 0, 0,
66.170, 0, 0, 0, 0, 0, 0, 0, 0, 0,
66.620, 0, 0, 0, 0, 0, 0, 0, 0, 0,
67.250, 0, 0, 0, 0, 0, 0, 0, 0, 0,
67.700, 0, 0, 0, 0, 0, 0, 0, 0, 0,
68.320, 0, 0, 0, 0, 0, 0, 0, 0, 0,
68.750, 0, 0, 0, 0, 0, 0, 0, 0, 0,
69.380, 0, 0, 0, 0, 0, 0, 0, 0, 0,
69.960, 0, 0, 0, 0, 0, 0, 0, 0, 0,
70.410, 0, 0, 0, 0, 0, 0, 0, 0, 0,
71.040, 0, 0, 0, 0, 0, 0, 0, 0, 0,
71.490, 0, 0, 0, 0, 0, 0, 0, 0, 0,
72.120, 0, 0, 0, 0, 0, 0, 0, 1, 0,
72.570, 0, 0, 0, 0, 0, 0, 0, 1, 0,
73.200, 0, 0, 0, 0, 0, 0, 0, 1, 0,
73.650, 0, 0, 0, 0, 0, 0, 0, 1, 0,
74.280, 0, 0, 0, 0, 0, 0, 0, 1, 0,
74.910, 0, 0, 0, 0, 0, 0, 0, 1, 0,
75.360, 0, 0, 0, 0, 0, 0, 0, 1, 0,
75.990, 0, 0, 0, 0, 0, 0, 0, 1, 0,
76.440, 0, 0, 0, 0, 0, 0, 0, 1, 0,
77.070, 0, 0, 0, 0, 0, 0, 0, 1, 0,
77.520, 0, 0, 0, 0, 0, 0, 0, 0, 0,
78.150, 0, 0, 0, 0, 0, 0, 0, 0, 1,
78.600, 0, 0, 0, 0, 0, 0, 0, 0, 1,
79.230, 0, 0, 0, 0, 0, 0, 0, 0, 1,
79.680, 0, 0, 0, 0, 0, 0, 0, 0, 1,
80.310, 0, 0, 0, 0, 0, 0, 0, 0, 1,
80.850, 0, 0, 0, 0, 0, 0, 0, 0, 0,
81.340, 0, 0, 0, 0, 0, 0, 0, 0, 0,
81.930, 0, 0, 0, 0, 0, 0, 0, 0, 0,
82.380, 0, 0, 0, 0, 0, 0, 0, 0, 0,
83.010, 0, 0, 0, 0, 0, 0, 0, 0, 0,
83.460, 0, 0, 0, 0, 0, 0, 0, 0, 0,
84.080, 0, 0, 0, 0, 0, 0, 0, 0, 0,
84.540, 0, 0, 0, 0, 0, 0, 0, 0, 0,
85.170, 0, 0, 0, 0, 0, 0, 0, 0, 0,
85.620, 0, 0, 0, 0, 0, 0, 0, 0, 0,
86.250, 0, 0, 0, 0, 0, 0, 0, 0, 0,
86.700, 0, 0, 0, 0, 0, 0, 0, 0, 0,
87.330, 0, 0, 0, 0, 0, 0, 0, 0, 0,
87.910, 0, 0, 0, 0, 0, 0, 0, 0, 0,
88.360, 0, 0, 0, 0, 0, 0, 0, 0, 0,
88.980, 0, 0, 0, 0, 0, 0, 0, 0, 0,
89.440, 0, 0, 0, 0, 0, 0, 0, 0, 0,
