Iteration, Time (s), Accel_0, Accel_1, Accel_2, Alt, Press, Euler0, Euler1, Euler2, MaxAlt, Stage #, Sat #, Latitude, Longitude
6,16.68,0.03,-0.49,9.67,0.331,790.28,0,0,0,0.331,1,12,6.1325588,-75.3792038
7,17.131,-0.01,-0.53,9.71,22.574,788.199,0,0,0,22.574,1,12,6.1325588,-75.3792038
8,17.755,0.03,-0.47,9.81,15.863,788.827,0,0,0,22.574,1,12,6.1325688,-75.3791733
9,18.244,0,-0.45,9.79,26.391,787.842,0,0,0,26.391,1,12,6.1325688,-75.3791733
10,18.867,0.01,-0.49,9.67,23.861,788.079,0,0,0,26.391,1,12,6.1325679,-75.3791733
11,19.32,0.03,-0.47,9.71,20.807,788.364,0,0,0,26.391,1,12,6.1325679,-75.3791733
12,19.941,0.05,-0.42,9.77,8.584,789.508,0,0,0,26.391,1,12,6.1325688,-75.3791733
13,20.372,0.07,-0.47,9.81,11.385,789.245,0,0,0,26.391,1,12,6.1325688,-75.3791733
14,20.997,0,-0.45,9.82,5.151,789.829,0,0,0,26.391,1,12,6.1325698,-75.3791733
15,21.43,0.01,-0.47,9.75,5.104,789.833,0,0,0,26.391,1,12,6.1325698,-75.3791733
16,22.055,0.03,-0.47,9.71,3.447,789.989,0,0,0,26.391,1,12,6.1325712,-75.3791733
17,22.486,-0.01,-0.51,9.67,3.826,789.953,0,0,0,26.391,1,12,6.1325712,-75.3791733
18,23.108,0.05,-0.51,9.79,1.901,790.133,0,0,0,26.391,1,12,6.1325722,-75.3791656
19,23.662,0.01,-0.45,9.71,4.058,789.931,0,0,0,26.391,1,12,6.1325731,-75.3791656
20,24.094,-0.07,-0.51,9.77,3.635,789.971,0,0,0,26.391,1,12,6.1325731,-75.3791656
21,24.717,0.01,-0.49,9.77,2.279,790.098,0,0,0,26.391,1,12,6.1325731,-75.3791656
22,25.148,-0.03,-0.47,9.79,4.911,789.852,0,0,0,26.391,1,12,6.1325731,-75.3791656
23,25.771,-0.03,-0.53,9.71,4.119,789.926,0,0,0,26.391,1,12,6.1325731,-75.3791656
24,26.222,0.07,-0.47,9.84,3.663,789.968,0,0,0,26.391,1,12,6.1325731,-75.3791656
25,26.847,0.07,-0.47,9.81,2.209,790.105,0,0,0,26.391,1,12,6.1325731,-75.3791656
26,27.278,0,-0.53,9.77,7.086,789.648,0,0,0,26.391,1,12,6.1325731,-75.3791656
27,27.901,-0.01,-0.45,9.67,4.165,789.921,0,0,0,26.391,1,12,6.1325722,-75.379158
28,28.354,-0.01,-0.47,9.75,6.332,789.718,0,0,0,26.391,1,12,6.1325722,-75.379158
